Question,Answer,Category
"What happens if I fail an exam?","If you fail an exam, you will get a 'Back Paper' (carry-over). You must fill out the carry-over form and reappear for the exam next year.","Exams"
"How do I apply for re-evaluation of my answer sheet?","Re-evaluation forms are available on the ERP portal for a limited time after results are declared. A nominal fee is charged per subject.","Exams"
"Can I miss my internal exams due to medical reasons?","If you miss an internal exam due to a severe medical emergency, submit a medical certificate to your HOD immediately for consideration.","Exams"
"Where can I find the syllabus for my branch?","The complete syllabus and course structure are available in the department section of the university website and on the LMS.","Exams"
"When will the final semester results be declared?","Results are usually declared within 30 to 45 days after the last date of the end-semester examinations.","Exams"
"How is my CGPA calculated?","CGPA is the credit-weighted average of the grade points you earn across all semesters. The formula is available in the student rulebook.","Exams"
"Are calculators allowed in the examination hall?","Non-programmable scientific calculators are allowed only for specific numerical-heavy subjects, as instructed by the invigilator.","Exams"
"Where can I check my class timetable?","The class timetable is uploaded to your student ERP account and is also pinned on the department notice board.","Timetable"
"What are the regular college timings?","Regular college hours are from 9:00 AM to 4:30 PM, Monday through Friday. Saturdays may have special labs or clubs.","Timetable"
"What is the minimum attendance requirement?","Students must maintain a minimum of 75% attendance in each subject to be eligible to sit for the end-semester exams.","Timetable"
"Where can I get the list of college holidays?","The official academic calendar, which includes the list of all holidays, is available on the university website and ERP.","Timetable"
"What are the library timings?","The central library is open from 8:00 AM to 8:00 PM on working days, and up to 10:00 PM during examination weeks.","Timetable"
"Can I change my branch after the first year?","Branch sliding is possible after the first year based on seat availability and your first-year CGPA (usually requiring 8.0+).","Timetable"
"How do I contact my Head of Department (HOD)?","You can meet your HOD during their designated meeting hours or email them at their official university email address.","Timetable"
"I forgot my ERP password, how do I reset it?","Click on 'Forgot Password' on the ERP login page. An OTP will be sent to your registered mobile number and email.","Timetable"
"How do I access the college Wi-Fi?","Connect to the campus network and log in using your student ID and the Wi-Fi password provided by the IT department.","Timetable"
"Are there any extra classes for weak students?","Yes, remedial classes are scheduled by respective faculty members for students who need extra academic support.","Timetable"
"Where is the college located?","GLA University is located on the Delhi-Mathura Highway (NH-2), Chaumuhan, Mathura, Uttar Pradesh.","General"
"What is the dress code or uniform policy?","Students must wear the prescribed university uniform on specified days and formal/smart casuals on other days. ID cards are mandatory.","General"
"Does the college have a medical dispensary?","Yes, there is a 24/7 campus dispensary with a resident doctor and an ambulance available for medical emergencies.","General"
"How are the placement records of the college?","The university has a strong placement record with a dedicated Training & Placement cell. Top MNCs visit annually. Check the placement portal for stats.","General"
"How can I join student clubs and societies?","You can join technical and cultural clubs during the annual club recruitment drive held at the beginning of the odd semester.","General"
"What are the sports facilities available?","The campus features grounds for cricket, football, basketball, badminton, and a fully equipped indoor sports complex and gym.","General"
"How do I report an incident of ragging?","Ragging is strictly prohibited. You can contact the Anti-Ragging toll-free helpline or immediately report it to your mentor or the Chief Warden.","General"
"I lost my ID card, how do I get a new one?","File an application with the admin office, attach a copy of an FIR/police complaint, and pay the duplicate ID card fee to get a replacement.","General"
"Where is the student grievance cell?","The student grievance redressal cell operates from the Dean of Student Welfare (DSW) office. You can also file grievances online via the ERP.","General"
"Can I bring my personal vehicle to campus?","Day scholars can bring two-wheelers and park them in the designated student parking area by showing their college ID.","General"
